00:00:00.033, 3, white, Entry
00:00:02.033, 1, yellow, Entry
00:00:02.033, 1, orange, Entry
00:00:02.133, 1, orange, Exit
00:00:02.133, 4, orange, Entry
00:00:02.167, 1, yellow, Exit
00:00:02.167, 3, yellow, Entry
00:00:02.167, 4, orange, Exit
00:00:02.167, 3, orange, Entry
00:00:02.267, 3, orange, Exit
00:00:02.267, 4, orange, Entry
00:00:02.333, 4, orange, Exit
00:00:02.333, 1, orange, Entry
00:00:02.467, 1, orange, Exit
00:00:02.467, 4, orange, Entry
00:00:02.600, 4, orange, Exit
00:00:02.600, 1, orange, Entry
00:00:04.533, 1, orange, Exit
00:00:04.533, 2, orange, Entry
00:00:05.667, 2, orange, Exit
00:00:05.667, 1, orange, Entry
00:00:09.133, 1, green, Entry
00:00:09.300, 1, green, Exit
00:00:09.300, 4, green, Entry
00:00:09.400, 1, orange, Exit
00:00:09.400, 4, orange, Entry
00:00:12.067, 4, orange, Exit
00:00:12.067, 1, orange, Entry
00:00:17.867, 1, orange, Exit
00:00:17.867, 4, orange, Entry
00:00:17.900, 4, orange, Exit
00:00:17.900, 1, orange, Entry
00:00:17.933, 1, orange, Exit
00:00:17.933, 4, orange, Entry
00:00:18.000, 4, orange, Exit
00:00:18.000, 1, orange, Entry
00:00:18.033, 1, orange, Exit
00:00:18.033, 4, orange, Entry
00:00:18.133, 4, orange, Exit
00:00:18.133, 1, orange, Entry
00:00:18.300, 4, green, Exit
00:00:18.300, 1, green, Entry
00:00:23.500, 1, orange, Exit
00:00:23.500, 4, orange, Entry
00:00:24.600, 4, orange, Exit
00:00:24.600, 1, orange, Entry
00:00:26.433, 1, orange, Exit
00:00:26.433, 2, orange, Entry
00:00:29.500, 2, orange, Exit
00:00:29.500, 1, orange, Entry
00:00:29.633, 1, orange, Exit
00:00:29.633, 4, orange, Entry
00:00:29.667, 4, orange, Exit
00:00:29.667, 3, orange, Entry
00:00:29.700, 3, orange, Exit
00:00:29.700, 1, orange, Entry
00:00:29.733, 1, orange, Exit
00:00:29.733, 4, orange, Entry
00:00:29.800, 4, orange, Exit
00:00:29.800, 2, orange, Entry
00:00:29.900, 2, orange, Exit
00:00:29.900, 4, orange, Entry
00:00:29.933, 4, orange, Exit
00:00:29.933, 2, orange, Entry
00:00:29.967, 2, orange, Exit
00:00:29.967, 3, orange, Entry
00:00:30.000, 3, orange, Exit
00:00:30.000, 2, orange, Entry
00:00:33.100, 2, orange, Exit
00:00:33.100, 1, orange, Entry
00:00:33.200, 1, green, Exit
00:00:33.200, 2, green, Entry
00:00:33.233, 2, green, Exit
00:00:33.233, 3, green, Entry
00:00:33.267, 1, orange, Exit
00:00:33.267, 4, orange, Entry
00:00:33.300, 4, orange, Exit
00:00:33.300, 2, orange, Entry
00:00:33.367, 2, orange, Exit
00:00:33.367, 3, orange, Entry
00:00:33.400, 3, orange, Exit
00:00:33.400, 2, orange, Entry
00:00:33.433, 2, orange, Exit
00:00:33.433, 4, orange, Entry
00:00:33.833, 4, orange, Exit
00:00:33.833, 3, orange, Entry
00:00:33.867, 3, orange, Exit
00:00:33.867, 4, orange, Entry
00:00:34.100, 4, orange, Exit
00:00:34.100, 2, orange, Entry
